Grid Id,X coordinates,Y coordnates
1,398750,494490
2,398750,494500
3,398750,494510
4,398760,494480
5,398760,494490
6,398760,494500
7,398760,494510
8,398760,494520
9,398760,494530
10,398760,494540
11,398770,494470
12,398770,494480
13,398770,494490
14,398770,494500
15,398770,494510
16,398770,494520
17,398770,494530
18,398770,494540
19,398770,494550
20,398770,494560
21,398780,494470
22,398780,494480
23,398780,494490
24,398780,494500
25,398780,494510
26,398780,494520
27,398780,494530
28,398780,494540
29,398780,494550
30,398780,494560
31,398780,494570
32,398780,494580
33,398790,494460
34,398790,494470
35,398790,494480
36,398790,494490
37,398790,494500
38,398790,494510
39,398790,494520
40,398790,494530
41,398790,494540
42,398790,494550
43,398790,494560
44,398790,494570
45,398790,494580
46,398790,494590
47,398790,494600
48,398790,494610
49,398800,494460
50,398800,494470
51,398800,494480
52,398800,494490
53,398800,494500
54,398800,494510
55,398800,494520
56,398800,494530
57,398800,494540
58,398800,494550
59,398800,494560
60,398800,494570
61,398800,494580
62,398800,494590
63,398800,494600
64,398800,494610
65,398800,494620
66,398800,494630
67,398800,494640
68,398800,494650
69,398810,494450
70,398810,494460
71,398810,494470
72,398810,494480
73,398810,494490
74,398810,494500
75,398810,494510
76,398810,494520
77,398810,494530
78,398810,494540
79,398810,494550
80,398810,494560
81,398810,494570
82,398810,494580
83,398810,494590
84,398810,494600
85,398810,494610
86,398810,494620
87,398810,494630
88,398810,494640
89,398810,494650
90,398810,494660
91,398810,494670
92,398810,494680
93,398810,494690
94,398820,494450
95,398820,494460
96,398820,494470
97,398820,494480
98,398820,494490
99,398820,494500
100,398820,494510
101,398820,494520
102,398820,494530
103,398820,494540
104,398820,494550
105,398820,494560
106,398820,494570
107,398820,494580
108,398820,494590
109,398820,494600
110,398820,494610
111,398820,494620
112,398820,494630
113,398820,494640
114,398820,494650
115,398820,494660
116,398820,494670
117,398820,494680
118,398820,494690
119,398820,494700
120,398820,494710
121,398820,494720
122,398830,494440
123,398830,494450
124,398830,494460
125,398830,494470
126,398830,494480
127,398830,494490
128,398830,494500
129,398830,494510
130,398830,494520
131,398830,494530
132,398830,494540
133,398830,494550
134,398830,494560
135,398830,494570
136,398830,494580
137,398830,494590
138,398830,494600
139,398830,494610
140,398830,494620
141,398830,494630
142,398830,494640
143,398830,494650
144,398830,494660
145,398830,494670
146,398830,494680
147,398830,494690
148,398830,494700
149,398830,494710
150,398830,494720
151,398830,494730
152,398830,494740
153,398840,494440
154,398840,494450
155,398840,494460
156,398840,494470
157,398840,494480
158,398840,494490
159,398840,494500
160,398840,494510
161,398840,494520
162,398840,494530
163,398840,494540
164,398840,494550
165,398840,494560
166,398840,494570
167,398840,494580
168,398840,494590
169,398840,494600
170,398840,494610
171,398840,494620
172,398840,494630
173,398840,494640
174,398840,494650
175,398840,494660
176,398840,494670
177,398840,494680
178,398840,494690
179,398840,494700
180,398840,494710
181,398840,494720
182,398840,494730
183,398840,494740
184,398840,494750
185,398840,494760
186,398850,494430
187,398850,494440
188,398850,494450
189,398850,494460
190,398850,494470
191,398850,494480
192,398850,494490
193,398850,494500
194,398850,494510
195,398850,494520
196,398850,494530
197,398850,494540
198,398850,494550
199,398850,494560
200,398850,494570
201,398850,494580
202,398850,494590
203,398850,494600
204,398850,494610
205,398850,494620
206,398850,494630
207,398850,494640
208,398850,494650
209,398850,494660
210,398850,494670
211,398850,494680
212,398850,494690
213,398850,494700
214,398850,494710
215,398850,494720
216,398850,494730
217,398850,494740
218,398850,494750
219,398850,494760
220,398850,494770
221,398850,494780
222,398860,494420
223,398860,494430
224,398860,494440
225,398860,494450
226,398860,494460
227,398860,494470
228,398860,494480
229,398860,494490
230,398860,494500
231,398860,494510
232,398860,494520
233,398860,494530
234,398860,494540
235,398860,494550
236,398860,494560
237,398860,494570
238,398860,494580
239,398860,494590
240,398860,494600
241,398860,494610
242,398860,494620
243,398860,494630
244,398860,494640
245,398860,494650
246,398860,494660
247,398860,494670
248,398860,494680
249,398860,494690
250,398860,494700
251,398860,494710
252,398860,494720
253,398860,494730
254,398860,494740
255,398860,494750
256,398860,494760
257,398860,494770
258,398860,494780
259,398860,494790
260,398860,494800
261,398870,494420
262,398870,494430
263,398870,494440
264,398870,494450
265,398870,494460
266,398870,494470
267,398870,494480
268,398870,494490
269,398870,494500
270,398870,494510
271,398870,494520
272,398870,494530
273,398870,494540
274,398870,494550
275,398870,494560
276,398870,494570
277,398870,494580
278,398870,494590
279,398870,494600
280,398870,494610
281,398870,494620
282,398870,494630
283,398870,494640
284,398870,494650
285,398870,494660
286,398870,494670
287,398870,494680
288,398870,494690
289,398870,494700
290,398870,494710
291,398870,494720
292,398870,494730
293,398870,494740
294,398870,494750
295,398870,494760
296,398870,494770
297,398870,494780
298,398870,494790
299,398870,494800
300,398870,494810
301,398870,494820
302,398880,494410
303,398880,494420
304,398880,494430
305,398880,494440
306,398880,494450
307,398880,494460
308,398880,494470
309,398880,494480
310,398880,494490
311,398880,494500
312,398880,494510
313,398880,494520
314,398880,494530
315,398880,494540
316,398880,494550
317,398880,494560
318,398880,494570
319,398880,494580
320,398880,494590
321,398880,494600
322,398880,494610
323,398880,494620
324,398880,494630
325,398880,494640
326,398880,494650
327,398880,494660
328,398880,494670
329,398880,494680
330,398880,494690
331,398880,494700
332,398880,494710
333,398880,494720
334,398880,494730
335,398880,494740
336,398880,494750
337,398880,494760
338,398880,494770
339,398880,494780
340,398880,494790
341,398880,494800
342,398880,494810
343,398880,494820
344,398880,494830
345,398880,494840
346,398890,494410
347,398890,494420
348,398890,494430
349,398890,494440
350,398890,494450
351,398890,494460
352,398890,494470
353,398890,494480
354,398890,494490
355,398890,494500
356,398890,494510
357,398890,494520
358,398890,494530
359,398890,494540
360,398890,494550
361,398890,494560
362,398890,494570
363,398890,494580
364,398890,494590
365,398890,494600
366,398890,494610
367,398890,494620
368,398890,494630
369,398890,494640
370,398890,494650
371,398890,494660
372,398890,494670
373,398890,494680
374,398890,494690
375,398890,494700
376,398890,494710
377,398890,494720
378,398890,494730
379,398890,494740
380,398890,494750
381,398890,494760
382,398890,494770
383,398890,494780
384,398890,494790
385,398890,494800
386,398890,494810
387,398890,494820
388,398890,494830
389,398890,494840
390,398890,494850
391,398890,494860
392,398900,494400
393,398900,494410
394,398900,494420
395,398900,494430
396,398900,494440
397,398900,494450
398,398900,494460
399,398900,494470
400,398900,494480
401,398900,494490
402,398900,494500
403,398900,494510
404,398900,494520
405,398900,494530
406,398900,494540
407,398900,494550
408,398900,494560
409,398900,494570
410,398900,494580
411,398900,494590
412,398900,494600
413,398900,494610
414,398900,494620
415,398900,494630
416,398900,494640
417,398900,494650
418,398900,494660
419,398900,494670
420,398900,494680
421,398900,494690
422,398900,494700
423,398900,494710
424,398900,494720
425,398900,494730
426,398900,494740
427,398900,494750
428,398900,494760
429,398900,494770
430,398900,494780
431,398900,494790
432,398900,494800
433,398900,494810
434,398900,494820
435,398900,494830
436,398900,494840
437,398900,494850
438,398900,494860
439,398900,494870
440,398910,494400
441,398910,494410
442,398910,494420
443,398910,494430
444,398910,494440
445,398910,494450
446,398910,494460
447,398910,494470
448,398910,494480
449,398910,494490
450,398910,494500
451,398910,494510
452,398910,494520
453,398910,494530
454,398910,494540
455,398910,494550
456,398910,494560
457,398910,494570
458,398910,494580
459,398910,494590
460,398910,494600
461,398910,494610
462,398910,494620
463,398910,494630
464,398910,494640
465,398910,494650
466,398910,494660
467,398910,494670
468,398910,494680
469,398910,494690
470,398910,494700
471,398910,494710
472,398910,494720
473,398910,494730
474,398910,494740
475,398910,494750
476,398910,494760
477,398910,494770
478,398910,494780
479,398910,494790
480,398910,494800
481,398910,494810
482,398910,494820
483,398910,494830
484,398910,494840
485,398910,494850
486,398910,494860
487,398910,494870
488,398910,494880
489,398910,494890
490,398920,494390
491,398920,494400
492,398920,494410
493,398920,494420
494,398920,494430
495,398920,494440
496,398920,494450
497,398920,494460
498,398920,494470
499,398920,494480
500,398920,494490
501,398920,494500
502,398920,494510
503,398920,494520
504,398920,494530
505,398920,494540
506,398920,494550
507,398920,494560
508,398920,494570
509,398920,494580
510,398920,494590
511,398920,494600
512,398920,494610
513,398920,494620
514,398920,494630
515,398920,494640
516,398920,494650
517,398920,494660
518,398920,494670
519,398920,494680
520,398920,494690
521,398920,494700
522,398920,494710
523,398920,494720
524,398920,494730
525,398920,494740
526,398920,494750
527,398920,494760
528,398920,494770
529,398920,494780
530,398920,494790
531,398920,494800
532,398920,494810
533,398920,494820
534,398920,494830
535,398920,494840
536,398920,494850
537,398920,494860
538,398920,494870
539,398920,494880
540,398920,494890
541,398920,494900
542,398930,494380
543,398930,494390
544,398930,494400
545,398930,494410
546,398930,494420
547,398930,494430
548,398930,494440
549,398930,494450
550,398930,494460
551,398930,494470
552,398930,494480
553,398930,494490
554,398930,494500
555,398930,494510
556,398930,494520
557,398930,494530
558,398930,494540
559,398930,494550
560,398930,494560
561,398930,494570
562,398930,494580
563,398930,494590
564,398930,494600
565,398930,494610
566,398930,494620
567,398930,494630
568,398930,494640
569,398930,494650
570,398930,494660
571,398930,494670
572,398930,494680
573,398930,494690
574,398930,494700
575,398930,494710
576,398930,494720
577,398930,494730
578,398930,494740
579,398930,494750
580,398930,494760
581,398930,494770
582,398930,494780
583,398930,494790
584,398930,494800
585,398930,494810
586,398930,494820
587,398930,494830
588,398930,494840
589,398930,494850
590,398930,494860
591,398930,494870
592,398930,494880
593,398930,494890
594,398930,494900
595,398930,494910
596,398940,494380
597,398940,494390
598,398940,494400
599,398940,494410
600,398940,494420
601,398940,494430
602,398940,494440
603,398940,494450
604,398940,494460
605,398940,494470
606,398940,494480
607,398940,494490
608,398940,494500
609,398940,494510
610,398940,494520
611,398940,494530
612,398940,494540
613,398940,494550
614,398940,494560
615,398940,494570
616,398940,494580
617,398940,494590
618,398940,494600
619,398940,494610
620,398940,494620
621,398940,494630
622,398940,494640
623,398940,494650
624,398940,494660
625,398940,494670
626,398940,494680
627,398940,494690
628,398940,494700
629,398940,494710
630,398940,494720
631,398940,494730
632,398940,494740
633,398940,494750
634,398940,494760
635,398940,494770
636,398940,494780
637,398940,494790
638,398940,494800
639,398940,494810
640,398940,494820
641,398940,494830
642,398940,494840
643,398940,494850
644,398940,494860
645,398940,494870
646,398940,494880
647,398940,494890
648,398940,494900
649,398940,494910
650,398940,494920
651,398940,494930
652,398950,494370
653,398950,494380
654,398950,494390
655,398950,494400
656,398950,494410
657,398950,494420
658,398950,494430
659,398950,494440
660,398950,494450
661,398950,494460
662,398950,494470
663,398950,494480
664,398950,494490
665,398950,494500
666,398950,494510
667,398950,494520
668,398950,494530
669,398950,494540
670,398950,494550
671,398950,494560
672,398950,494570
673,398950,494580
674,398950,494590
675,398950,494600
676,398950,494610
677,398950,494620
678,398950,494630
679,398950,494640
680,398950,494650
681,398950,494660
682,398950,494670
683,398950,494680
684,398950,494690
685,398950,494700
686,398950,494710
687,398950,494720
688,398950,494730
689,398950,494740
690,398950,494750
691,398950,494760
692,398950,494770
693,398950,494780
694,398950,494790
695,398950,494800
696,398950,494810
697,398950,494820
698,398950,494830
699,398950,494840
700,398950,494850
701,398950,494860
702,398950,494870
703,398950,494880
704,398950,494890
705,398950,494900
706,398950,494910
707,398950,494920
708,398950,494930
709,398950,494940
710,398950,494950
711,398960,494370
712,398960,494380
713,398960,494390
714,398960,494400
715,398960,494410
716,398960,494420
717,398960,494430
718,398960,494440
719,398960,494450
720,398960,494460
721,398960,494470
722,398960,494480
723,398960,494490
724,398960,494500
725,398960,494510
726,398960,494520
727,398960,494530
728,398960,494540
729,398960,494550
730,398960,494560
731,398960,494570
732,398960,494580
733,398960,494590
734,398960,494600
735,398960,494610
736,398960,494620
737,398960,494630
738,398960,494640
739,398960,494650
740,398960,494660
741,398960,494670
742,398960,494680
743,398960,494690
744,398960,494700
745,398960,494710
746,398960,494720
747,398960,494730
748,398960,494740
749,398960,494750
750,398960,494760
751,398960,494770
752,398960,494780
753,398960,494790
754,398960,494800
755,398960,494810
756,398960,494820
757,398960,494830
758,398960,494840
759,398960,494850
760,398960,494860
761,398960,494870
762,398960,494880
763,398960,494890
764,398960,494900
765,398960,494910
766,398960,494920
767,398960,494930
768,398960,494940
769,398960,494950
770,398960,494960
771,398970,494360
772,398970,494370
773,398970,494380
774,398970,494390
775,398970,494400
776,398970,494410
777,398970,494420
778,398970,494430
779,398970,494440
780,398970,494450
781,398970,494460
782,398970,494470
783,398970,494480
784,398970,494490
785,398970,494500
786,398970,494510
787,398970,494520
788,398970,494530
789,398970,494540
790,398970,494550
791,398970,494560
792,398970,494570
793,398970,494580
794,398970,494590
795,398970,494600
796,398970,494610
797,398970,494620
798,398970,494630
799,398970,494640
800,398970,494650
801,398970,494660
802,398970,494670
803,398970,494680
804,398970,494690
805,398970,494700
806,398970,494710
807,398970,494720
808,398970,494730
809,398970,494740
810,398970,494750
811,398970,494760
812,398970,494770
813,398970,494780
814,398970,494790
815,398970,494800
816,398970,494810
817,398970,494820
818,398970,494830
819,398970,494840
820,398970,494850
821,398970,494860
822,398970,494870
823,398970,494880
824,398970,494890
825,398970,494900
826,398970,494910
827,398970,494920
828,398970,494930
829,398970,494940
830,398970,494950
831,398970,494960
832,398970,494970
833,398980,494360
834,398980,494370
835,398980,494380
836,398980,494390
837,398980,494400
838,398980,494410
839,398980,494420
840,398980,494430
841,398980,494440
842,398980,494450
843,398980,494460
844,398980,494470
845,398980,494480
846,398980,494490
847,398980,494500
848,398980,494510
849,398980,494520
850,398980,494530
851,398980,494540
852,398980,494550
853,398980,494560
854,398980,494570
855,398980,494580
856,398980,494590
857,398980,494600
858,398980,494610
859,398980,494620
860,398980,494630
861,398980,494640
862,398980,494650
863,398980,494660
864,398980,494670
865,398980,494680
866,398980,494690
867,398980,494700
868,398980,494710
869,398980,494720
870,398980,494730
871,398980,494740
872,398980,494750
873,398980,494760
874,398980,494770
875,398980,494780
876,398980,494790
877,398980,494800
878,398980,494810
879,398980,494820
880,398980,494830
881,398980,494840
882,398980,494850
883,398980,494860
884,398980,494870
885,398980,494880
886,398980,494890
887,398980,494900
888,398980,494910
889,398980,494920
890,398980,494930
891,398980,494940
892,398980,494950
893,398980,494960
894,398980,494970
895,398980,494980
896,398990,494350
897,398990,494360
898,398990,494370
899,398990,494380
900,398990,494390
901,398990,494400
902,398990,494410
903,398990,494420
904,398990,494430
905,398990,494440
906,398990,494450
907,398990,494460
908,398990,494470
909,398990,494480
910,398990,494490
911,398990,494500
912,398990,494510
913,398990,494520
914,398990,494530
915,398990,494540
916,398990,494550
917,398990,494560
918,398990,494570
919,398990,494580
920,398990,494590
921,398990,494600
922,398990,494610
923,398990,494620
924,398990,494630
925,398990,494640
926,398990,494650
927,398990,494660
928,398990,494670
929,398990,494680
930,398990,494690
931,398990,494700
932,398990,494710
933,398990,494720
934,398990,494730
935,398990,494740
936,398990,494750
937,398990,494760
938,398990,494770
939,398990,494780
940,398990,494790
941,398990,494800
942,398990,494810
943,398990,494820
944,398990,494830
945,398990,494840
946,398990,494850
947,398990,494860
948,398990,494870
949,398990,494880
950,398990,494890
951,398990,494900
952,398990,494910
953,398990,494920
954,398990,494930
955,398990,494940
956,398990,494950
957,398990,494960
958,398990,494970
959,399000,494340
960,399000,494350
961,399000,494360
962,399000,494370
963,399000,494380
964,399000,494390
965,399000,494400
966,399000,494410
967,399000,494420
968,399000,494430
969,399000,494440
970,399000,494450
971,399000,494460
972,399000,494470
973,399000,494480
974,399000,494490
975,399000,494500
976,399000,494510
977,399000,494520
978,399000,494530
979,399000,494540
980,399000,494550
981,399000,494560
982,399000,494570
983,399000,494580
984,399000,494590
985,399000,494600
986,399000,494610
987,399000,494620
988,399000,494630
989,399000,494640
990,399000,494650
991,399000,494660
992,399000,494670
993,399000,494680
994,399000,494690
995,399000,494700
996,399000,494710
997,399000,494720
998,399000,494730
999,399000,494740
1000,399000,494750
1001,399000,494760
1002,399000,494770
1003,399000,494780
1004,399000,494790
1005,399000,494800
1006,399000,494810
1007,399000,494820
1008,399000,494830
1009,399000,494840
1010,399000,494850
1011,399000,494860
1012,399000,494870
1013,399000,494880
1014,399000,494890
1015,399000,494900
1016,399000,494910
1017,399000,494920
1018,399000,494930
1019,399000,494940
1020,399000,494950
1021,399000,494960
1022,399000,494970
1023,399010,494340
1024,399010,494350
1025,399010,494360
1026,399010,494370
1027,399010,494380
1028,399010,494390
1029,399010,494400
1030,399010,494410
1031,399010,494420
1032,399010,494430
1033,399010,494440
1034,399010,494450
1035,399010,494460
1036,399010,494470
1037,399010,494480
1038,399010,494490
1039,399010,494500
1040,399010,494510
1041,399010,494520
1042,399010,494530
1043,399010,494540
1044,399010,494550
1045,399010,494560
1046,399010,494570
1047,399010,494580
1048,399010,494590
1049,399010,494600
1050,399010,494610
1051,399010,494620
1052,399010,494630
1053,399010,494640
1054,399010,494650
1055,399010,494660
1056,399010,494670
1057,399010,494680
1058,399010,494690
1059,399010,494700
1060,399010,494710
1061,399010,494720
1062,399010,494730
1063,399010,494740
1064,399010,494750
1065,399010,494760
1066,399010,494770
1067,399010,494780
1068,399010,494790
1069,399010,494800
1070,399010,494810
1071,399010,494820
1072,399010,494830
1073,399010,494840
1074,399010,494850
1075,399010,494860
1076,399010,494870
1077,399010,494880
1078,399010,494890
1079,399010,494900
1080,399010,494910
1081,399010,494920
1082,399010,494930
1083,399010,494940
1084,399010,494950
1085,399010,494960
1086,399020,494330
1087,399020,494340
1088,399020,494350
1089,399020,494360
1090,399020,494370
1091,399020,494380
1092,399020,494390
1093,399020,494400
1094,399020,494410
1095,399020,494420
1096,399020,494430
1097,399020,494440
1098,399020,494450
1099,399020,494460
1100,399020,494470
1101,399020,494480
1102,399020,494490
1103,399020,494500
1104,399020,494510
1105,399020,494520
1106,399020,494530
1107,399020,494540
1108,399020,494550
1109,399020,494560
1110,399020,494570
1111,399020,494580
1112,399020,494590
1113,399020,494600
1114,399020,494610
1115,399020,494620
1116,399020,494630
1117,399020,494640
1118,399020,494650
1119,399020,494660
1120,399020,494670
1121,399020,494680
1122,399020,494690
1123,399020,494700
1124,399020,494710
1125,399020,494720
1126,399020,494730
1127,399020,494740
1128,399020,494750
1129,399020,494760
1130,399020,494770
1131,399020,494780
1132,399020,494790
1133,399020,494800
1134,399020,494810
1135,399020,494820
1136,399020,494830
1137,399020,494840
1138,399020,494850
1139,399020,494860
1140,399020,494870
1141,399020,494880
1142,399020,494890
1143,399020,494900
1144,399020,494910
1145,399020,494920
1146,399020,494930
1147,399020,494940
1148,399020,494950
1149,399020,494960
1150,399030,494330
1151,399030,494340
1152,399030,494350
1153,399030,494360
1154,399030,494370
1155,399030,494380
1156,399030,494390
1157,399030,494400
1158,399030,494410
1159,399030,494420
1160,399030,494430
1161,399030,494440
1162,399030,494450
1163,399030,494460
1164,399030,494470
1165,399030,494480
1166,399030,494490
1167,399030,494500
1168,399030,494510
1169,399030,494520
1170,399030,494530
1171,399030,494540
1172,399030,494550
1173,399030,494560
1174,399030,494570
1175,399030,494580
1176,399030,494590
1177,399030,494600
1178,399030,494610
1179,399030,494620
1180,399030,494630
1181,399030,494640
1182,399030,494650
1183,399030,494660
1184,399030,494670
1185,399030,494680
1186,399030,494690
1187,399030,494700
1188,399030,494710
1189,399030,494720
1190,399030,494730
1191,399030,494740
1192,399030,494750
1193,399030,494760
1194,399030,494770
1195,399030,494780
1196,399030,494790
1197,399030,494800
1198,399030,494810
1199,399030,494820
1200,399030,494830
1201,399030,494840
1202,399030,494850
1203,399030,494860
1204,399030,494870
1205,399030,494880
1206,399030,494890
1207,399030,494900
1208,399030,494910
1209,399030,494920
1210,399030,494930
1211,399030,494940
1212,399030,494950
1213,399030,494960
1214,399040,494320
1215,399040,494330
1216,399040,494340
1217,399040,494350
1218,399040,494360
1219,399040,494370
1220,399040,494380
1221,399040,494390
1222,399040,494400
1223,399040,494410
1224,399040,494420
1225,399040,494430
1226,399040,494440
1227,399040,494450
1228,399040,494460
1229,399040,494470
1230,399040,494480
1231,399040,494490
1232,399040,494500
1233,399040,494510
1234,399040,494520
1235,399040,494530
1236,399040,494540
1237,399040,494550
1238,399040,494560
1239,399040,494570
1240,399040,494580
1241,399040,494590
1242,399040,494600
1243,399040,494610
1244,399040,494620
1245,399040,494630
1246,399040,494640
1247,399040,494650
1248,399040,494660
1249,399040,494670
1250,399040,494680
1251,399040,494690
1252,399040,494700
1253,399040,494710
1254,399040,494720
1255,399040,494730
1256,399040,494740
1257,399040,494750
1258,399040,494760
1259,399040,494770
1260,399040,494780
1261,399040,494790
1262,399040,494800
1263,399040,494810
1264,399040,494820
1265,399040,494830
1266,399040,494840
1267,399040,494850
1268,399040,494860
1269,399040,494870
1270,399040,494880
1271,399040,494890
1272,399040,494900
1273,399040,494910
1274,399040,494920
1275,399040,494930
1276,399040,494940
1277,399040,494950
1278,399050,494320
1279,399050,494330
1280,399050,494340
1281,399050,494350
1282,399050,494360
1283,399050,494370
1284,399050,494380
1285,399050,494390
1286,399050,494400
1287,399050,494410
1288,399050,494420
1289,399050,494430
1290,399050,494440
1291,399050,494450
1292,399050,494460
1293,399050,494470
1294,399050,494480
1295,399050,494490
1296,399050,494500
1297,399050,494510
1298,399050,494520
1299,399050,494530
1300,399050,494540
1301,399050,494550
1302,399050,494560
1303,399050,494570
1304,399050,494580
1305,399050,494590
1306,399050,494600
1307,399050,494610
1308,399050,494620
1309,399050,494630
1310,399050,494640
1311,399050,494650
1312,399050,494660
1313,399050,494670
1314,399050,494680
1315,399050,494690
1316,399050,494700
1317,399050,494710
1318,399050,494720
1319,399050,494730
1320,399050,494740
1321,399050,494750
1322,399050,494760
1323,399050,494770
1324,399050,494780
1325,399050,494790
1326,399050,494800
1327,399050,494810
1328,399050,494820
1329,399050,494830
1330,399050,494840
1331,399050,494850
1332,399050,494860
1333,399050,494870
1334,399050,494880
1335,399050,494890
1336,399050,494900
1337,399050,494910
1338,399050,494920
1339,399050,494930
1340,399050,494940
1341,399060,494310
1342,399060,494320
1343,399060,494330
1344,399060,494340
1345,399060,494350
1346,399060,494360
1347,399060,494370
1348,399060,494380
1349,399060,494390
1350,399060,494400
1351,399060,494410
1352,399060,494420
1353,399060,494430
1354,399060,494440
1355,399060,494450
1356,399060,494460
1357,399060,494470
1358,399060,494480
1359,399060,494490
1360,399060,494500
1361,399060,494510
1362,399060,494520
1363,399060,494530
1364,399060,494540
1365,399060,494550
1366,399060,494560
1367,399060,494570
1368,399060,494580
1369,399060,494590
1370,399060,494600
1371,399060,494610
1372,399060,494620
1373,399060,494630
1374,399060,494640
1375,399060,494650
1376,399060,494660
1377,399060,494670
1378,399060,494680
1379,399060,494690
1380,399060,494700
1381,399060,494710
1382,399060,494720
1383,399060,494730
1384,399060,494740
1385,399060,494750
1386,399060,494760
1387,399060,494770
1388,399060,494780
1389,399060,494790
1390,399060,494800
1391,399060,494810
1392,399060,494820
1393,399060,494830
1394,399060,494840
1395,399060,494850
1396,399060,494860
1397,399060,494870
1398,399060,494880
1399,399060,494890
1400,399060,494900
1401,399060,494910
1402,399060,494920
1403,399060,494930
1404,399070,494310
1405,399070,494320
1406,399070,494330
1407,399070,494340
1408,399070,494350
1409,399070,494360
1410,399070,494370
1411,399070,494380
1412,399070,494390
1413,399070,494400
1414,399070,494410
1415,399070,494420
1416,399070,494430
1417,399070,494440
1418,399070,494450
1419,399070,494460
1420,399070,494470
1421,399070,494480
1422,399070,494490
1423,399070,494500
1424,399070,494510
1425,399070,494520
1426,399070,494530
1427,399070,494540
1428,399070,494550
1429,399070,494560
1430,399070,494570
1431,399070,494580
1432,399070,494590
1433,399070,494600
1434,399070,494610
1435,399070,494620
1436,399070,494630
1437,399070,494640
1438,399070,494650
1439,399070,494660
1440,399070,494670
1441,399070,494680
1442,399070,494690
1443,399070,494700
1444,399070,494710
1445,399070,494720
1446,399070,494730
1447,399070,494740
1448,399070,494750
1449,399070,494760
1450,399070,494770
1451,399070,494780
1452,399070,494790
1453,399070,494800
1454,399070,494810
1455,399070,494820
1456,399070,494830
1457,399070,494840
1458,399070,494850
1459,399070,494860
1460,399070,494870
1461,399070,494880
1462,399070,494890
1463,399070,494900
1464,399070,494910
1465,399070,494920
1466,399080,494300
1467,399080,494310
1468,399080,494320
1469,399080,494330
1470,399080,494340
1471,399080,494350
1472,399080,494360
1473,399080,494370
1474,399080,494380
1475,399080,494390
1476,399080,494400
1477,399080,494410
1478,399080,494420
1479,399080,494430
1480,399080,494440
1481,399080,494450
1482,399080,494460
1483,399080,494470
1484,399080,494480
1485,399080,494490
1486,399080,494500
1487,399080,494510
1488,399080,494520
1489,399080,494530
1490,399080,494540
1491,399080,494550
